Module	Section	Sample Name	Source
Picard	DuplicationMetrics	ATAC_D8_repl_2_no_tx_S42	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/mapping_reads/ATAC_D8_repl_2_no_tx_S42_trimmed_marked_dup_metrics.txt
Picard	DuplicationMetrics	ATAC_D0_repl_2_no_tx_S39	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/mapping_reads/ATAC_D0_repl_2_no_tx_S39_trimmed_marked_dup_metrics.txt
Picard	DuplicationMetrics	ATAC_D0_repl_2_HDACi_S37	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/mapping_reads/ATAC_D0_repl_2_HDACi_S37_trimmed_marked_dup_metrics.txt
Picard	DuplicationMetrics	ATAC_D8_repl_2_LSD1i_S41	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/mapping_reads/ATAC_D8_repl_2_LSD1i_S41_trimmed_marked_dup_metrics.txt
Samtools	idxstats	ATAC_D8_repl_2_no_tx_S42_trimmed_samtools_idxstats	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/mapping_reads/ATAC_D8_repl_2_no_tx_S42_trimmed_samtools_idxstats.txt
Samtools	idxstats	ATAC_D8_repl_2_HDACi_S40_trimmed_samtools_idxstats	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/mapping_reads/ATAC_D8_repl_2_HDACi_S40_trimmed_samtools_idxstats.txt
Samtools	idxstats	ATAC_D0_repl_2_no_tx_S39_trimmed_samtools_idxstats	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/mapping_reads/ATAC_D0_repl_2_no_tx_S39_trimmed_samtools_idxstats.txt
Samtools	idxstats	ATAC_D0_repl_2_LSD1i_S38_trimmed_samtools_idxstats	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/mapping_reads/ATAC_D0_repl_2_LSD1i_S38_trimmed_samtools_idxstats.txt
Samtools	idxstats	ATAC_D0_repl_2_HDACi_S37_trimmed_samtools_idxstats	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/mapping_reads/ATAC_D0_repl_2_HDACi_S37_trimmed_samtools_idxstats.txt
Samtools	idxstats	ATAC_D8_repl_2_LSD1i_S41_trimmed_samtools_idxstats	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/mapping_reads/ATAC_D8_repl_2_LSD1i_S41_trimmed_samtools_idxstats.txt
STAR	SummaryLog	ATAC_D0_repl_2_HDACi_S37	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/mapping_reads/ATAC_D0_repl_2_HDACi_S37_trimmed_Log.final.out
STAR	SummaryLog	ATAC_D8_repl_2_LSD1i_S41	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/mapping_reads/ATAC_D8_repl_2_LSD1i_S41_trimmed_Log.final.out
STAR	SummaryLog	ATAC_D0_repl_2_no_tx_S39	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/mapping_reads/ATAC_D0_repl_2_no_tx_S39_trimmed_Log.final.out
STAR	SummaryLog	ATAC_D8_repl_2_no_tx_S42	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/mapping_reads/ATAC_D8_repl_2_no_tx_S42_trimmed_Log.final.out
STAR	SummaryLog	ATAC_D0_repl_2_LSD1i_S38	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/mapping_reads/ATAC_D0_repl_2_LSD1i_S38_trimmed_Log.final.out
STAR	SummaryLog	ATAC_D8_repl_2_HDACi_S40	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/mapping_reads/ATAC_D8_repl_2_HDACi_S40_trimmed_Log.final.out
Cutadapt	all_sections	ATAC_D8_repl_2_LSD1i_S41_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/cutadapt_trimmed/ATAC_D8_repl_2_LSD1i_S41_R1_001.cutadapt.out
Cutadapt	all_sections	ATAC_D0_repl_2_no_tx_S39_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/cutadapt_trimmed/ATAC_D0_repl_2_no_tx_S39_R1_001.cutadapt.out
Cutadapt	all_sections	ATAC_D8_repl_2_no_tx_S42_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/cutadapt_trimmed/ATAC_D8_repl_2_no_tx_S42_R1_001.cutadapt.out
Cutadapt	all_sections	ATAC_D0_repl_2_HDACi_S37_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/cutadapt_trimmed/ATAC_D0_repl_2_HDACi_S37_R1_001.cutadapt.out
Cutadapt	all_sections	ATAC_D8_repl_2_HDACi_S40_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/cutadapt_trimmed/ATAC_D8_repl_2_HDACi_S40_R1_001.cutadapt.out
Cutadapt	all_sections	ATAC_D0_repl_2_LSD1i_S38_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/cutadapt_trimmed/ATAC_D0_repl_2_LSD1i_S38_R1_001.cutadapt.out
FastQC	all_sections	ATAC_D8_repl_2_HDACi_S40_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_raw/ATAC_D8_repl_2_HDACi_S40_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_HDACi_S37_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_raw/ATAC_D0_repl_2_HDACi_S37_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_HDACi_S37_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_raw/ATAC_D0_repl_2_HDACi_S37_R2_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_no_tx_S42_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_raw/ATAC_D8_repl_2_no_tx_S42_R2_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_no_tx_S39_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_raw/ATAC_D0_repl_2_no_tx_S39_R2_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_LSD1i_S41_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_raw/ATAC_D8_repl_2_LSD1i_S41_R2_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_no_tx_S42_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_raw/ATAC_D8_repl_2_no_tx_S42_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_no_tx_S39_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_raw/ATAC_D0_repl_2_no_tx_S39_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_HDACi_S40_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_raw/ATAC_D8_repl_2_HDACi_S40_R2_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_LSD1i_S38_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_raw/ATAC_D0_repl_2_LSD1i_S38_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_LSD1i_S41_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_raw/ATAC_D8_repl_2_LSD1i_S41_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_LSD1i_S38_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_raw/ATAC_D0_repl_2_LSD1i_S38_R2_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_HDACi_S37_trimmed_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D0_repl_2_HDACi_S37_trimmed_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_no_tx_S42_trimmed_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D8_repl_2_no_tx_S42_trimmed_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_HDACi_S40_trimmed_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D8_repl_2_HDACi_S40_trimmed_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_no_tx_S42_trimmed_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D8_repl_2_no_tx_S42_trimmed_R2_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_LSD1i_S38_trimmed_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D0_repl_2_LSD1i_S38_trimmed_R2_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_no_tx_S39_trimmed_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D0_repl_2_no_tx_S39_trimmed_R2_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_LSD1i_S41_trimmed_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D8_repl_2_LSD1i_S41_trimmed_R2_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_LSD1i_S38_trimmed_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D0_repl_2_LSD1i_S38_trimmed_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_no_tx_S39_trimmed_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D0_repl_2_no_tx_S39_trimmed_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_HDACi_S37_trimmed_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D0_repl_2_HDACi_S37_trimmed_R2_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_LSD1i_S41_trimmed_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D8_repl_2_LSD1i_S41_trimmed_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_HDACi_S40_trimmed_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D8_repl_2_HDACi_S40_trimmed_R2_001_fastqc.zip
